country,pop_2013,pop_var,gdp_2013,edb_2019,food_kcal_cap_day,prot_g_cap_day,prot_ani_ratio,poultry_food_kg_cap_y,poultry_import_ratio,clust
Gabon,1.672,112.74443695212406,9369.521711,45.58,2826.0,86.28000000000002,49.895688456189156,32.89473684210526,94.5945945945946,5
Gambia,1.849,117.17363751584284,486.086492,51.72,2621.0,61.31,22.997879628119392,2.7041644131963225,80.0,5
Germany,82.727,99.21683857040058,46176.177749,78.9,3503.0,101.39,60.64700660814678,17.757201397367247,50.22307202039514,1
Bosnia and Herzegovina,3.8289999999999997,99.17119917119919,5042.748881,63.82,3156.0,91.5,33.22404371584701,13.058239749281794,27.450980392156865,2
Ghana,25.905,112.0943314582432,1814.538726,59.22,3014.0,64.57000000000002,26.66873160910639,8.64697934761629,77.23214285714286,5
Kiribati,0.102,107.36842105263158,1684.911769,49.07,3042.0,73.33999999999997,48.13198800109081,19.607843137254907,50.0,5
Greece,11.128,100.40602724893981,21186.790509,68.08,3394.0,108.64999999999996,54.514496088357106,15.726096333572967,39.45945945945946,2
Grenada,0.106,101.92307692307692,7955.606892,52.71,2442.0,69.2,60.057803468208114,47.16981132075472,100.0,3
Guatemala,15.468,113.33528722157094,3452.82893,62.17,2416.0,63.73000000000001,27.96171347873843,16.420998189811222,32.481751824817515,5
Guinea,11.745,113.86330586524478,726.0940780000002,51.51,2567.0,55.86000000000001,17.776584317937697,1.7879948914431674,61.904761904761905,5
Guyana,0.8,103.09278350515464,3944.178028,55.57,2762.0,79.27000000000002,45.50271224927464,36.25,6.451612903225807,5
Haiti,10.317,107.04503008923014,803.9739910000002,38.52,2089.0,47.7,21.278825995807125,7.560337307356789,89.74358974358975,5
Honduras,8.096,110.57088227260313,2136.773905,58.22,2639.0,64.78000000000002,35.782648965730154,20.25691699604743,10.365853658536585,5
"China, Hong Kong SAR",7.204,103.38691159586682,38566.712121,84.22,3286.0,129.07000000000002,73.13860695746493,54.830649639089394,264.1425389755011,3
Hungary,9.955,99.0941668325702,13739.063946,72.28,3034.0,78.75000000000004,53.48571428571428,23.80713209442491,21.70542635658915,2
Croatia,4.29,98.39449541284401,13578.48546,71.4,3056.0,84.27000000000002,56.92417230331078,8.624708624708624,48.64864864864865,2
Iceland,0.33,106.79611650485435,47544.160857,79.35,3381.0,133.06,72.50864271757102,27.272727272727273,11.111111111111109,1
India,1252.14,106.59576967672405,1499.382472,67.23,2454.0,59.91,19.996661659155397,1.8783842062389189,0.0,4
Indonesia,249.86599999999999,106.66956963495176,3620.663981,67.96,2776.0,62.2,28.488745980707396,7.500020010725748,0.05336179295624333,5
Iran (Islamic Republic of),77.447,106.58675217792214,6966.659601,56.98,3089.0,87.25000000000001,25.444126074498573,25.3721900138159,0.8677896886166412,5
Iraq,33.765,114.72986748216108,6112.878866,44.72,2542.0,63.6,20.69182389937107,14.83784984451355,82.43512974051895,5
Ireland,4.627,106.31893382352942,51130.077752,78.91,3602.0,109.91,58.97552542989718,26.150853684893022,61.53846153846154,1
Israel,7.733,108.80821725059799,37397.81074,73.23,3610.0,128.0,56.60937500000002,62.45958877537824,0.0,1
Italy,60.99,101.86391421986171,35705.759697,72.56,3578.0,108.48999999999997,53.67314959904139,18.609608132480734,7.5586446568201575,1
Côte d'Ivoire,20.316,111.25958378970428,1423.602446,58.0,2797.0,58.45000000000001,23.404619332763037,2.411892104745029,2.0408163265306123,5
Kazakhstan,16.441,105.60765673175743,13752.023575,77.89,3262.0,96.34999999999997,59.23196678775299,18.36871236542789,56.25,2
Jamaica,2.784,102.39058477381391,5005.595035,67.47,2742.0,76.93,48.23865852073314,52.44252873563219,29.45205479452055,2
Japan,127.14399999999999,99.86254997290271,40180.809978,75.65,2726.0,87.65000000000002,55.27666856816885,19.418926571446548,42.13886671987231,2
Jordan,7.274,123.05870411097956,3992.867103,60.98,3099.0,79.58,34.1668760995225,33.40665383557877,34.5679012345679,5
