country,pop_2013,pop_var,prot_ani_ratio,prot_g_cap_day,food_kcal_cap_day
Guatemala,15.468,113.33528722157094,27.96171347873843,63.73000000000001,2416.0
Guinea,11.745,113.86330586524478,17.7765843179377,55.86000000000001,2567.0
Guyana,0.8,103.09278350515466,45.50271224927463,79.27000000000002,2762.0
Haiti,10.317,107.04503008923014,21.278825995807125,47.7,2089.0
Honduras,8.096,110.57088227260311,35.78264896573016,64.78000000000002,2639.0
"China, Hong Kong SAR",7.204,103.38691159586682,73.13860695746493,129.07000000000002,3286.0
Hungary,9.955,99.09416683257018,53.48571428571428,78.75000000000004,3034.0
Croatia,4.29,98.39449541284402,56.92417230331078,84.27000000000001,3056.0
Iceland,0.33,106.79611650485437,72.50864271757102,133.06,3381.0
India,1252.14,106.59576967672405,19.9966616591554,59.910000000000004,2454.0
Indonesia,249.866,106.66956963495176,28.488745980707396,62.2,2776.0
Iran (Islamic Republic of),77.447,106.58675217792212,25.444126074498573,87.25000000000001,3089.0
Iraq,33.765,114.72986748216107,20.69182389937107,63.6,2542.0
Ireland,4.627,106.31893382352939,58.97552542989719,109.91,3602.0
Israel,7.733,108.80821725059799,56.609375000000014,127.99999999999999,3610.0
Italy,60.99,101.86391421986171,53.67314959904138,108.48999999999997,3578.0
Côte d'Ivoire,20.316,111.25958378970427,23.404619332763037,58.45000000000001,2797.0
Kazakhstan,16.441,105.60765673175744,59.23196678775299,96.34999999999997,3262.0
Jamaica,2.784,102.39058477381391,48.23865852073313,76.93,2742.0
Japan,127.144,99.86254997290271,55.27666856816885,87.65000000000002,2726.0
Jordan,7.274,123.05870411097955,34.1668760995225,79.58,3099.0
Kyrgyzstan,5.548,106.75389647873774,41.148831199342176,85.13000000000002,2817.0
Kenya,44.354,114.39403708766409,25.699046387586865,61.87,2205.0
Cambodia,15.135,108.56466537551108,29.11970758452635,65.66,2473.0
Democratic People's Republic of Korea,24.895,102.68520046196996,18.312420440080015,54.98999999999999,2093.0
